name,market_open,lat,lng,toilet,garage
마포농수산물시장,매일,37.56519673,126.8984816,Y,Y
형곡중앙시장,매일,36.10639921,128.336566,Y,Y
망원동월드컵시장,매일,37.55873145,126.9050809,Y,N
마포시장,매일,37.54514325,126.9538313,Y,N
공덕시장,매일,37.54478749,126.9532661,Y,N
성대전통시장,매일,37.4992128,126.9308577,Y,Y
성대시장,매일,37.499747,126.9319148,Y,Y
상도전통시장,매일,37.49874579,126.9521073,Y,Y
남성역골목시장,매일,37.48297561,126.9723106,N,Y
구미산업유통단지,매일,36.10987904,128.4026465,Y,Y
회기시장,매일,37.59096898,127.0549831,Y,Y
청량리전통시장,매일,37.58061231,127.043609,N,N
청량리농수산물시장,매일,37.58091962,127.0408808,Y,Y
청량리청과물시장,매일,37.58021633,127.0424243,Y,Y
청량리종합시장,매일,37.58015373,127.0410276,Y,Y
청량종합도매시장(깡통시장),매일,37.58194677,127.0408474,Y,Y
동서시장,매일,37.57972118,127.0412198,Y,Y
경동시장,매일,37.57903713,127.0391477,Y,Y
경동광성상가,매일,37.5801094,127.0388992,Y,N
서울약령시장,매일,37.58060041,127.0375866,Y,Y
전농로터리시장,매일,37.57814687,127.057034,Y,N
전곡시장,매일,37.57789747,127.0684698,Y,N
종합제일시장,매일,36.13031135,128.329651,Y,Y
답십리건축자재시장,매일,37.56746274,127.053483,N,N
신곡종합시장,매일,37.5183654,126.8431968,Y,N
우성상가시장,매일,37.52266806,126.8335949,Y,Y
목동깨비시장 (목3동시장),매일,37.54818867,126.8652236,Y,Y
목2동시장,매일,37.54602681,126.8738616,Y,N
목사랑시장 (목4동시장),매일,37.53762108,126.8662157,Y,Y
영주소백쇼핑몰,매일,36.8234917,128.6261751,Y,Y
새마을시장,매일,37.50876138,127.0859863,Y,Y
석촌시장,매일,37.5001761,127.1065307,Y,Y
방이시장,매일,37.50995926,127.1178663,Y,Y
마천중앙시장,매일,37.49720945,127.1501548,Y,Y
마천시장,매일,37.49837418,127.1508638,Y,N
정릉시장,매일,37.60946076,127.0090604,Y,Y
정릉아리랑시장,매일,37.60281126,127.0112339,N,N
장위전통시장,매일,37.61128809,127.051034,Y,Y
돌곶이시장(구 석관황금시장),매일,37.60977806,127.062234,Y,N
영주중앙시장,매일,36.82573412,128.6209774,Y,Y
길음시장,매일,37.60278279,127.0215958,Y,Y
용답상가시장,매일,37.56417453,127.0525299,Y,Y
뚝도시장,매일,37.53780127,127.0548196,Y,Y
마장축산물시장,매일,37.57068419,127.0412827,Y,Y
금남시장,매일,37.54862374,127.02304,Y,Y
양재시장,매일,37.48430625,127.0379675,Y,N
남부종합시장,매일,37.49499219,126.9848583,Y,Y
인왕시장,매일,37.59139941,126.9439326,Y,Y
풍기인삼시장,매일,36.87302772,128.5236126,Y,Y
유진상가,매일,37.59159869,126.9429557,Y,Y
풍산공설시장,3일+8일,36.57720568,128.5765756,Y,Y
광장시장,매일,37.57011251,126.9997072,Y,Y
신설종합시장,매일,37.57266283,127.0203419,Y,N
대림골목시장,매일,37.58793463,126.9175061,Y,N
증산종합시장,매일,37.58145616,126.9050711,Y,Y
신응암시장,매일,37.59391806,126.9186943,Y,Y
대림시장,5일+10일,37.58679054,126.9177451,Y,Y
청도공설시장,4일+9일,35.64393806,128.7460405,Y,Y
영주종합시장,매일,36.81360395,128.6221385,Y,Y
제일시장,매일,37.61062032,126.9294636,Y,N
신영주번개시장,매일,,,Y,Y
후암시장,매일,37.55038071,126.9766339,Y,Y
이태원시장,매일,37.53382214,126.9900549,Y,N
이촌종합시장,매일,37.52073732,126.9747853,Y,Y
신흥시장,매일,37.54531838,126.9850858,Y,N
만리시장,매일,37.55133241,126.963696,Y,N
보광시장,매일,37.52719119,127.0002941,Y,Y
영신상가,매일,37.51991925,126.9066537,Y,N
삼구시장,매일,37.52014379,126.9057597,Y,N
동남상가,매일,37.52059746,126.9056573,Y,N
영일시장,매일,37.51613921,126.9007199,Y,Y
대림중앙시장,매일,37.49190098,126.8995307,Y,N
영등포유통상가,매일,37.52241744,126.8939303,Y,Y
오목교중앙시장,매일,37.52026919,126.8757375,N,N
신정제일시장,매일,37.52084193,126.8536894,Y,N
경창시장,매일,37.52493227,126.8421197,Y,Y
신영시장,매일,37.53301495,126.836027,Y,Y
신중앙시장,매일,37.56738265,127.0197632,Y,N
서울중앙시장,매일,37.56738265,127.0197632,Y,N
방산종합시장,매일,37.56872723,127.0008037,Y,Y
평화시장,매일,37.56942974,127.0080481,Y,Y
통일상가,매일,37.56915955,127.006203,Y,N
동화상가,매일,37.5686099,127.0069161,Y,Y
