시장명,시장유형,위도,경도,점포수,공중화장실보유여부,주차장보유여부,개설연도
영해만세시장,상설장+5일장,36.54089457,129.407185,176,Y,Y,1965
영양시장,상설장+5일장,,,80,Y,Y,1918
풍기인삼시장,상설장,36.87302772,128.5236126,50,Y,Y,2003
영주골목시장,상설장,36.82449267,128.6229875,77,Y,Y,2006
영주중앙시장,상설장,36.8257389,128.6209769,58,Y,Y,2006
선비골전통시장,상설장,36.82425135,128.6231913,95,Y,Y,2009
영주문화시장,상설장,36.8239126,128.6235074,190,Y,N,2010
풍기중앙시장,상설장,36.8706025,128.5281959,69,Y,Y,2006
풍기선비골인삼시장,상설장,36.88850301,128.5406893,68,Y,Y,2019
영주공설시장,상설장+5일장,36.82255573,128.6263204,93,Y,Y,2006
신영주번개시장,상설장,36.81223799,128.623387,29,Y,Y,2013
영주종합시장,상설장,36.81360395,128.6221385,78,Y,Y,2006
금호공설시장,상설장+5일장,35.93166906,128.8733589,43,Y,Y,1955
신녕공설시장,상설장+5일장,36.04209299,128.7874777,41,Y,Y,1958
영천공설시장,상설장+5일장,35.96425248,128.9385821,220,Y,Y,1955
예천맛고을시장,상설장,36.65689278,128.4548923,100,N,Y,2014
예천상설시장,상설장+5일장,36.65599016,128.4561493,82,Y,Y,1955
경산공설시장,상설장+5일장,35.82052133,128.735749,200,Y,Y,1956
자인공설시장,상설장+5일장,35.81649983,128.8229427,54,Y,Y,1969
하양공설시장,상설장+5일장,35.91562378,128.8192553,109,Y,Y,1931
감포시장,상설장+5일장,35.80410761,129.502011,54,Y,Y,1959
건천시장,상설장+5일장,35.84830099,129.1048124,40,Y,Y,1914
불국시장,상설장+5일장,35.77575677,129.3011741,34,Y,Y,1965
봉황중심상가시장,상설장,35.84221396,129.2106571,510,Y,Y,2010
북부상가시장,상설장+5일장,35.8534885,129.2075834,118,Y,Y,2011
경주성동공설시장,상설장,35.84554647,129.2162805,587,Y,Y,1971
안강공설시장,상설장+5일장,35.9903076,129.2217101,386,Y,Y,1923
양북시장,상설장+5일장,35.79041062,129.4412131,38,Y,Y,1942
불국사상가시장,상설장,35.78599622,129.3278528,55,Y,Y,1974
황남상가시장,상설장,35.83566075,129.2103092,51,N,N,1969
경주중심상가시장,상설장,35.84225687,129.2146864,285,Y,Y,2008
북정로중심상가시장,상설장,35.84229272,129.2151854,130,Y,Y,1960
고령대가야시장,상설장+5일장,35.72730911,128.2666727,80,Y,Y,1983
제일시장상가,상설장,36.10172307,128.3841129,44,Y,Y,1987
구미공단종합시장,상설장,36.12063838,128.3715387,43,Y,Y,1983
구미파크시장,상설장,36.14936268,128.3254726,39,Y,Y,1994
선산봉황시장,상설장+5일장,36.23951857,128.300921,314,Y,Y,1994
신평전통시장,상설장,36.12315363,128.361175,67,Y,Y,2015
구미새마을중앙시장,상설장+5일장,36.13085045,128.3297934,100,Y,Y,1975
금오시장,상설장,36.12611615,128.3406025,125,Y,Y,1985
현대유통쇼핑센타,상설장,36.1300276,128.3300461,78,Y,Y,1985
종합제일시장,상설장,36.13031135,128.329651,59,Y,Y,2006
구미산업유통단지,상설장,36.10987904,128.4026465,728,Y,Y,1995
장천시장,상설장+5일장,36.12569593,128.4934096,52,Y,Y,1959
형곡시장프라자,상설장,36.11287628,128.3343324,100,Y,Y,1992
형곡중앙시장,상설장,36.10631862,128.3365202,76,Y,Y,1993
군위전통시장,상설장+5일장,36.23975138,128.5679239,52,Y,Y,1954
부곡시장,상설장,36.12583274,128.1042234,18,Y,Y,1980
평화시장,상설장+5일장,36.12364342,128.1130862,106,Y,Y,1977
황금시장,상설장+5일장,36.11666261,128.1252827,175,Y,Y,1964
가은아자개시장,상설장+5일장,36.64660911,128.0609864,95,Y,Y,1981
역전시장,상설장,35.79317122,126.9015965,63,Y,Y,1957
김제전통시장,상설장+5일장,35.80162714,126.8837248,60,Y,Y,1900
금만시장,상설장,35.80014264,126.8864263,91,Y,Y,1890
남원공설시장,상설장+5일장,35.40461965,127.3758611,137,Y,Y,1970
용남시장,상설장,35.40710447,127.3767644,85,Y,Y,1970
무풍시장(대덕산장터),상설장+5일장,35.96945032,127.8487964,11,Y,Y,1965
설천시장(삼도봉장터),상설장+5일장,36.0099056,127.7880133,13,Y,Y,1988
안성시장(덕유산장터),상설장+5일장,35.86633002,127.653578,30,Y,Y,1950
중앙시장,상설장,34.95326194,127.4846047,50,Y,Y,1981
역전시장,상설장,34.94374833,127.5033333,170,Y,Y,1979
웃장,상설장+5일장,34.95864147,127.4850305,68,Y,Y,1975
주암시장,상설장+5일장,35.075741,127.2352637,25,Y,Y,1964
지도 전통시장,상설장+5일장,35.0588198,126.2069832,66,Y,Y,1955
교동시장,상설장,34.73896529,127.730219,81,Y,N,1965
중앙시장,상설장,34.74059178,127.7325592,131,Y,Y,1975
해안로건어물상가시장,상설장,34.73953206,127.7345269,35,Y,Y,1980
여수수산물특화시장,상설장,34.73683093,127.7328973,133,Y,Y,2004
(주)서시장,상설장,34.74178725,127.7286168,230,Y,Y,1982
덕양시장,상설장,34.79802722,127.6314434,15,Y,Y,1932
중앙선어시장,상설장,34.73942888,127.7370587,74,Y,Y,1945
칠성진시장,상설장,35.87571704,128.6040652,107,Y,Y,2012
서문시장 아진상가,상설장,35.86995064,128.5815736,245,Y,Y,2017
한라프라자,상설장,34.88820169,128.6235595,57,Y,Y,1996
영오시장,상설장+5일장,35.1089502,128.2376847,28,Y,Y,1954
양산남부시장,상설장+5일장,35.34244341,129.0372311,189,Y,Y,1978
진주논개시장(장대시장),상설장,35.19506184,128.0872175,294,Y,Y,1962
회성종합시장,상설장,35.23292644,128.5594098,140,Y,Y,1981
사파동성종합상가,상설장,35.21947669,128.7021885,100,Y,Y,1993
중부시장,상설장,35.15506526,128.6815616,107,Y,Y,1977
지리산함양시장,상설장+5일장,35.5186005,127.7289877,130,Y,Y,1983
용호시장,상설장,35.11491426,129.1127725,55,Y,Y,1975
초량전통시장,상설장,35.11804138,129.0396662,90,Y,N,1960
양정전통시장,상설장,,,92,N,N,1970
하단시장,상설장,35.10627945,128.9694852,55,Y,N,1978
동대신1동골목시장,상설장,35.1103097,129.019196,40,Y,N,1978
수영팔도시장,상설장,35.16877627,129.116898,133,Y,Y,1981
자갈치시장,상설장,35.09661069,129.0305905,320,Y,Y,1970
신창상가,상설장,35.10117719,129.0302005,48,Y,Y,1954
언양공설시장,상설장+5일장,35.56280807,129.125824,57,Y,Y,1915
반구시장,상설장,35.55806208,129.3442437,86,Y,Y,2012
간성전통시장,상설장+5일장,38.37994273,128.4694508,66,Y,Y,1965
양구중앙시장,상설장+5일장,38.10410757,127.9893261,58,Y,Y,1985
동송시장,상설장+5일장,38.2088079,127.218867,35,Y,Y,1982
평창대화시장,상설장+5일장,37.50098758,128.4539942,49,Y,Y,1958
사창시장,5일장,35.26039872,126.6630702,36,Y,Y,1998
해남읍5일시장,5일장,34.56878428,126.5971547,129,Y,Y,1964
장수시장,5일장,35.64918556,127.5174723,33,Y,Y,1977
금성시장,5일장,36.25617739,128.6814114,70,Y,Y,1961
청하시장,5일장,36.19707872,129.3396614,40,Y,Y,1965
군북공설시장,5일장,35.26104644,128.3469542,20,Y,Y,1965
고성오일시장,5일장,33.4518552,126.9128143,68,Y,Y,1984
옥과5일시장,5일장,35.2759017,127.1379523,44,Y,Y,1964
복내5일시장,5일장,34.89370035,127.1331421,24,Y,Y,1989
무주시장(반딧불장터),상설장+5일장,36.00464857,127.6534743,50,Y,Y,1953
장위전통시장,상설장,37.61206308,127.0508053,64,Y,Y,1960
수유중앙시장,상설장,37.64033603,127.0211761,41,Y,Y,1971
마천시장,상설장,37.49842506,127.1507453,65,Y,N,1973
영동시장,상설장,37.27681569,127.0186497,285,Y,Y,2006
중평시장,상설장,35.8653642,128.5539271,77,Y,N,1982
에덴골목시장,상설장,35.11114738,128.9627261,46,N,N,1988
중앙시장,상설장,35.94206103,126.9497282,155,Y,Y,1947
도평시장,상설장+5일장,36.290109,129.0170773,15,Y,Y,1921
흥해시장,상설장+5일장,36.11061401,129.3482939,130,Y,Y,1965
성주시장,상설장+5일장,35.91446517,128.2851065,44,Y,Y,1887
영주소백쇼핑몰,상설장,36.8234917,128.6261751,92,Y,Y,2005
경주중앙시장,상설장+5일장,35.84395286,129.2067435,745,Y,Y,1983
인동시장,상설장+5일장,36.10819473,128.4209289,126,Y,Y,1989
(주)여수수산시장,상설장,34.73813576,127.7317623,105,Y,Y,1969
노화전통시장,상설장+5일장,34.17755629,126.573208,25,Y,Y,1968
대인시장,상설장,35.15409833,126.917243,289,Y,Y,1976
