name,도로종류,lat,lng,electric_charge,sleep,shower,laundry,menu
대천(목포),고속국도,36.372995,126.555684,Y,,,,순두부찌개
단양팔경(춘천),고속국도,36.942903,128.322142,Y,,,,마늘왕돈가스
단양팔경(부산),고속국도,36.995459,128.287616,Y,,,,새뱅이해물순두부
논공(대구),고속국도,35.764989,128.402909,Y,,,,대구 연근덮밥
논공(광주),고속국도,35.767421,128.403493,Y,,,,대구육개장
내린천,고속국도,37.916535,128.286377,Y,,,,용대리황태국밥
남성주참외(창원),고속국도,35.869015,128.316816,Y,,,,화덕흑돼지불고기
남성주참외(양평),고속국도,35.858422,128.319904,Y,,,,화덕흑돼지불고기
김해금관가야,고속국도,35.269933,129.003134,Y,,,,제육덮밥
김천(서울),고속국도,36.131107,128.164009,Y,,,,지례흑돼지제육
김천(부산),고속국도,36.129252,128.164782,Y,,,,대구궁중육개장
기흥(부산),고속국도,37.235125,127.104595,Y,Y,Y,Y,옛날흑돼지돈가스
금왕(평택),고속국도,36.970655,127.589499,Y,Y,Y,Y,금왕인삼불고기
금왕(제천),고속국도,36.9694501,127.590845,Y,,,,금왕인삼솥비빔밥
금산인삼랜드(통영),고속국도,36.152874,127.495954,Y,,,,인삼능이왕갈비탕
금산인삼랜드(대전),고속국도,36.154689,127.497681,Y,Y,Y,Y,인삼갈비탕
금강(부산),고속국도,36.279148,127.672231,Y,,,,도리뱅뱅정식
군위(춘천),고속국도,36.266002,128.576774,Y,,,,강된장비빔밤
군위(부산),고속국도,36.266556,128.574852,Y,,,,강된장비빔밤
군산(서울),고속국도,36.018831,126.797698,Y,,,,불고기비빔밥
군산(목포),고속국도,35.980591,126.828971,Y,,,,해장아욱국밥
구정(속초),고속국도,37.723012,128.854228,Y,,,,옛날돈까스
구정(삼척),고속국도,37.722214,128.8511601,Y,,,,통등심돈까스
구리(일산),고속국도,37.628023,127.139237,Y,,,,초당해물순두부
괴산(창원),고속국도,36.831456,127.957845,Y,,,,괴산짜글이찌개
괴산(양평),고속국도,36.831894,127.960141,Y,,,,엄나무닭곰탕
공주(대전),고속국도,36.496946,127.1666701,Y,,,,공주알밤돌솥비빔밥
공주(당진),고속국도,36.498679,127.164921,Y,,,,공주알밤돌솥비빔밥
곡성(천안),고속국도,35.259632,127.152741,Y,,,,제육덮밥+사골우거지국밥
곡성(순천),고속국도,35.258498,127.150737,Y,,,,입맛없을땐 짜글이+흑돼지 김치찌개
고창고인돌(서울),고속국도,35.4620701,126.673477,Y,,,,장어탕
고창고인돌(목포),고속국도,35.468653,126.673871,Y,,,,고창장어탕
고성공룡나라(통영),고속국도,35.0518101,128.262763,Y,,,,해물순두부
고성공룡나라(대전),고속국도,35.056665,128.252359,Y,,,,꼬막비빔밥
경주(부산),고속국도,35.724761,129.1929501,Y,,,,경주천년한우국밥
경산(서울),고속국도,35.879323,128.810331,Y,Y,Y,Y,돼지갈비정식
건천(서울),고속국도,35.831894,129.109244,Y,,,,건천버섯차돌된장찌개
건천(부산),고속국도,35.830716,129.1093101,Y,,,,누구나돌솥비빔밥
거창(대구),고속국도,35.706469,128.056945,Y,,,,왕돈가스
거창(광주),고속국도,35.708862,128.057962,Y,Y,Y,Y,돼지고기김치찌개
강천산(대구),고속국도,35.364369,127.104757,Y,,,,순창고추장 돌솥비빔밥+차돌박이 된장찌개
강천산(광주),고속국도,35.3657501,127.105451,Y,,,,순창고추장 돌솥비빔밥+차돌박이 된장찌개
강릉(인천),고속국도,37.760275,128.8053601,Y,,,,초당몽글순두부+초당두부황태해장국
강릉(강릉),고속국도,37.758206,128.806648,Y,,,,뚝배기불고기
