name,category,lat,lng,forest_house,heal_house,forest_heal,glamping,deck_site,camp_site
데미샘자연휴양림,공유림,35.6569938,127.4610402,○,○,,,,
소백산자연휴양림,공유림,37.06069296,128.4673084,○,○,,,,
소선암자연휴양림,공유림,36.91922142,128.3123127,○,○,,,,
장령산자연휴양림,공유림,36.24486737,127.5547497,○,○,,,,○
비학산자연휴양림,공유림,36.14703337,129.2111071,○,○,○,,,
금강자연휴양림,공유림,36.43769938,127.2327429,○,○,,,,○
국망봉자연휴양림,사유림,38.02891868,127.3962681,,,,,,
천보산자연휴양림,공유림,37.85576406,127.1190897,○,○,,,,○
사천케이블카자연휴양림(사천),공유림,34.95015858,128.0583444,○,○,,,,
월아산자연휴양림(진주),공유림,35.199915,128.1941257,○,○,,,,
가리산자연휴양림,공유림,37.8656358,127.9811498,○,○,,,○,
고대산자연휴양림,공유림,38.21125391,127.1507058,○,○,○,,,○
데미샘자연휴양림,공유림,35.656988,127.461036,○,○,,,,
좌구산자연휴양림,공유림,36.70556821,127.6511216,○,,,,,
옥성자연휴양림,공유림,36.27907203,128.2844292,○,,,,○,
밀양도래재자연휴양림,공유림,35.55632931,128.9390583,○,○,○,,○,
화왕산자연휴양림,공유림,35.54697823,128.5673185,○,○,○,,○,
광치자연휴양림,공유림,38.14199686,128.0710755,○,○,,,,
태백고원자연휴양림,국유림,37.12357654,129.0603832,○,○,,,,○
수도산 자연휴양림,공유림,35.8918024,127.9838463,○,○,,,,
계명산자연휴양림,공유림,36.9793629,127.9950872,○,,,,,
봉황자연휴양림,공유림,37.05700022,127.8304531,○,,,,,
문성자연휴양림,공유림,37.02832486,127.7525206,○,,,,,
국립신시도자연휴양림,국유림,35.82195511,126.4558226,○,○,,,,
유치자연휴양림,공유림,34.76320106,126.8341628,○,,,,○,
용인자연휴양림,공유림,37.31487372,127.2678442,○,,,,,○
용궐산자연휴양림,공유림,35.46166861,127.2048302,,○,○,,,○
회문산자연휴양림,국유림,35.50195867,127.1148251,○,○,,,,
설매재자연휴양림,사유림,37.556802,127.509356,○,○,○,,,
양평쉬자파크,공유림,37.511222,127.533196,,,,,,
용문산자연휴양림,공유림,37.516048,127.519421,○,○,○,,○,
대봉산자연휴양림,공유림,35.57794015,127.7150289,○,○,,,○,
산삼자연휴양림,공유림,35.6945248,127.6568273,○,○,,,,
용추자연휴양림,공유림,35.70327762,127.7540485,○,○,,,,○
영양에코둥지,공유림,36.70182591,129.1124232,○,○,,,,
보현산자연휴양림,공유림,36.14392724,128.9645019,○,○,,,○,
운주산승마자연휴양림,공유림,36.03510258,128.996734,○,,,,○,
청도자연휴양림,공유림,35.70657626,128.5426709,○,○,,,,
운문산자연휴양림,국유림,35.64834675,129.026208,○,○,,,,
강씨봉자연휴양림,공유림,37.96989302,127.4083285,○,○,○,,,
